State,City,Population,Crime Index total,Modified Crime Index total1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Burglary,Larceny-theft,Motor vehicle theft,Arson,
ALABAMA,Albertville,"16,936",405,,-,3,3,9, ,96,265,29,,
,Alexander City,"16,090",812,,3,4,11,58, ,121,596,19,,
,Auburn,"40,591","2,031",,3,12,26,83, ,301,"1,566",40,,
,Bessemer,"30,968","3,586",,10,22,150,206,,713,"2,203",282,,
,Birmingham,"254,171","20,710","20,868",78,212,939,"1,614", ,"3,855","12,035","1,977",158,
,Cullman,"14,496",719,,-,1,9,23, ,108,536,42,,
,Daphne,"15,751",478,,-,1,2,5, ,90,359,21,,
,Decatur,"54,918","3,656",,3,22,103,155, ,719,"2,508",146,,
,Dothan,"57,303","3,423",,9,19,126,188, ,727,"2,158",196,,
,Florence,"39,258","1,703",,-,8,33,80, ,350,"1,200",32,,
,Fort Payne,"12,700",462,,1,-,4,8, ,60,379,10,,
,Hartselle,"12,482",375,,-,2,2,2, ,50,309,10,,
,Hueytown,"15,039",582,,1,2,19,55, ,97,370,38,,
,Huntsville,"176,701","12,949",,19,106,302,"1,065", ,"2,034","8,288","1,135",,
,Jacksonville,"10,094",363,,-,2,6,6, ,83,258,8,,
,Leeds,"10,794",470,,-,3,16,26, ,83,314,28,,
,Millbrook,"10,868",401,,1,6,4,14, ,114,244,18,,
,Mobile,"243,239","15,417",,30,53,808,397, ,"3,465","9,439","1,225",,
,Montgomery,"197,823","15,407",,26,120,591,846, ,"3,165","9,259","1,400",,
,Muscle Shoals,"11,011",509,,-,-,1,29, ,83,396,-,,
,Oxford,"11,076","1,301",,-,5,30,82, ,150,923,111,,
,Pell City,"10,442",617,,1,5,1,54, ,144,386,26,,
,Phenix City,"27,465","1,289",,2,6,40,98, ,283,739,121,,
,Sylacauga,"12,569",712,,1,3,9,50, ,85,535,29,,
,Tuscaloosa,"83,718","10,986",,13,50,216,564, ,"1,556","8,232",355,,
,Tuskegee,"11,034",733,,-,7,7,33, ,227,417,42,,
