State,City by state,Population,Crime Index  ,Modified Crime Index1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,
ALABAMA,ALABAMA,, , , ,,,,,,,,,,,,
,Alabaster,"22,819",142,,1,0,10,12,15,90,14,,,,,,
,Albertville,"17,400",973,,0,9,6,55,293,565,45,,,,,,
,Alexander City,"15,141",987,,2,8,23,81,129,724,20,,,,,,
,Anniston,"24,491","3,617","3,635",7,35,164,366,900,"1,995",150,18,,,,,
,Athens,"19,135",761,,2,1,10,10,119,584,35,,,,,,
,Auburn,"43,368","2,282",,2,17,48,99,516,"1,506",94,,, ,,,
,Birmingham,"244,972","21,265","21,476",65,239,"1,186","1,697","4,389","11,640","2,049",211,,,,,
,Cullman,"14,119",907,,0,3,2,10,150,698,44,,,,,,
,Daphne,"16,728",456,,2,3,7,14,58,343,29,,,,,,
,Decatur,"54,407","3,810",,4,17,105,91,773,"2,706",114,,,,,,
,Dothan,"58,248","3,072",,1,40,90,81,568,"2,152",140,,,,,,
,Enterprise,"21,366",909,,1,9,20,43,151,631,54,,,,,,
,Eufaula,"14,031",614,,1,6,18,23,80,452,34,,,,,,
,Fairfield,"12,491","1,730",,0,6,68,52,209,"1,155",240,,,,,,
,Florence,"36,585","1,869","1,882",1,16,33,123,327,"1,327",42,13,,,,,
,Fort Payne,"13,052",581,,0,5,4,41,79,450,2,,,,,,
,Gadsden,"39,323","3,934",,4,31,97,584,741,"2,170",307,,,,,,
,Gardendale,"11,729",475,,0,1,3,12,67,374,18,,,,,,
,Hartselle,"12,126",361,,0,2,2,2,55,295,5,,,,,,
,Homewood,"25,265","1,560",,1,9,61,32,229,"1,150",78,,,,,,
,Hoover,"63,298","1,916",,1,19,82,105,254,"1,309",146,,,,,,
,Hueytown,"15,500",481,,0,5,27,21,92,292,44,,,,,,
,Huntsville,"159,618","10,167","10,212",5,82,315,559,"1,714","6,718",774,45,,,,,
,Leeds,"10,547",465,,0,6,18,11,76,332,22,,,, ,,
,Madison,"29,589",930,,2,6,21,27,192,635,47,,,,,,
,Mobile2,"256,542","17,949",,40,107,752,477,"3,590","11,534","1,449",,,,,,
,Montgomery,"203,355","17,617",,30,118,698,629,"3,812","10,640","1,690",,,,,,
,Mountain Brook,"20,787",384,,0,0,2,5,65,305,7,,,,,,
,Muscle Shoals,"12,029",591,,0,1,2,25,113,442,8,,,,,,
,Northport,"19,607",897,,2,9,20,66,140,617,43,,,,,,
,Opelika,"23,706","2,063",,2,29,70,256,422,"1,276",8,,,,,,
