State,City,Population,Violent crime,Murder and non-negligent man-slaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,,
ALABAMA,Alabaster,"24,956",23,0,2,3,18,202,23,160,19,0,,,,,,
,Albertville,"17,658",54,1,9,8,36,,,517,69,,,,,,,
,Alexander City,"14,879",108,0,4,17,87,811,136,663,12,,,,,,,
,Anniston,"23,868",502,2,28,155,317,"3,164",937,"2,011",216,,,,,,,
,Athens,"19,612",12,0,0,7,5,668,97,546,25,0,,,,,,
,Auburn,"45,533",146,1,22,50,73,"1,972",546,"1,347",79,,, ,,,,
,Birmingham,"240,176","3,347",85,204,"1,352","1,706","19,574","4,831","11,934","2,809",175,,,,,,
,Cullman,"14,103",18,0,8,5,5,891,121,709,61,2,,,,,,
,Daphne,"17,285",19,0,3,6,10,459,74,363,22,,,,,,,
,Decatur,"54,112",221,4,11,117,89,"3,957",780,"3,001",176,,,,,,,
,Dothan,"59,185",239,4,38,110,87,"2,917",670,"2,100",147,,,,,,,
,Enterprise,"21,438",66,2,10,18,36,843,180,630,33,,,,,,,
,Eufaula,"13,812",57,1,6,34,16,544,65,454,25,,,,,,,
,Fairfield,"12,106",118,5,9,74,30,"1,643",252,"1,210",181,,,,,,,
,Fairhope,"13,520",23,0,3,4,16,494,120,340,34,,,,,,,
,Florence,"35,928",166,0,15,42,109,"1,601",304,"1,241",56,12,,,,,,
,Fort Payne,"13,123",31,0,2,3,26,428,81,343,4,,,,,,,
,Gadsden2,"38,087",,6,21,78,,"3,155",580,"2,312",263,,,,,,,
,Gardendale,"12,043",30,1,3,17,9,461,64,363,34,,,,,,,
,Hartselle,"12,213",6,0,0,2,4,318,39,267,12,,,,,,,
,Helena,"11,438",1,0,1,0,0,43,4,38,1,,,,,,,
,Homewood,"24,861",110,0,9,62,39,"1,525",286,"1,138",101,,,,,,,
,Hoover,"64,469",242,0,18,113,111,"1,920",310,"1,480",130,,,, ,,,
,Hueytown,"15,462",70,2,0,40,28,479,112,325,42,,,,,,,
,Huntsville,"163,052",988,19,84,316,569,"9,388","1,740","6,774",874,,,,,,,
,Jasper,"13,968",62,1,9,18,34,857,160,638,59,,,,,,,
,Leeds,"10,826",30,2,4,10,14,406,78,299,29,,,,,,,
,Madison,"32,438",52,1,8,15,28,"1,064",166,843,55,,,,,,,
,Millbrook,"11,501",52,1,4,4,43,429,109,300,20,,,,,,,
,Mobile3,"251,345","1,300",24,113,739,424,"16,151","3,976","10,855","1,320",,,,,,,
,Montgomery,"202,064","1,307",18,115,658,516,"16,125","4,092","10,268","1,765",,,,,,,
,Mountain Brook,"20,215",12,0,1,5,6,404,59,329,16,,,,,,,
,Muscle Shoals,"12,271",43,0,4,9,30,665,112,532,21,,,,,,,
,Northport,"19,854",144,1,12,22,109,842,131,652,59,4,,,,,,
,Opelika,"23,671",370,5,18,59,288,"1,475",311,"1,153",11,,,,,,,
,Oxford,"15,260",125,1,4,33,87,"1,331",229,"1,011",91,,,,,,,
,Ozark,"15,024",70,0,7,6,57,587,101,437,49,2,,,,,,
,Pelham,"16,573",15,1,0,9,5,359,32,296,31,,,,,,,
,Pell City,"10,130",71,0,5,9,57,552,68,449,35,,,,,,,
,Phenix City,"28,593",127,2,16,44,65,"1,232",321,797,114,,,,,,,
,Prattville,"25,949",100,1,18,28,53,"1,308",206,"1,044",58,,,,,,,
,Prichard,"28,290",481,6,30,187,258,"2,543",824,"1,354",365,,,,,,,
,Saraland,"12,454",24,0,0,11,13,583,89,474,20,,,,,,,
,Scottsboro,"14,858",13,1,3,6,3,716,159,530,27,,,,,,,
,Selma,"20,054",418,7,34,104,273,"2,301",661,"1,421",219,,,,,,,
,Sylacauga,"12,685",50,1,1,17,31,790,135,641,14,,,,,,,
,Talladega,"15,074",51,0,18,16,17,"1,192",224,906,62,,,,,,,
,Troy,"13,877",75,1,1,23,50,"1,069",169,837,63,,,,,,,
,Trussville,"13,903",34,0,1,12,21,709,66,614,29,0,,,,,,
,Tuscaloosa,"79,400",555,7,50,222,276,"5,063",999,"3,809",255,,,,,,,
,Vestavia Hills,"25,734",29,0,2,9,18,329,76,219,34,,,,,,,
