"year","county_name","state_id","county_population","violent_crime_county","county_state"
2005,"Abbeville","SC",8171,115,"Abbeville SC"
2006,"Abbeville","SC",9427,148,"Abbeville SC"
2007,"Abbeville","SC",9176,105,"Abbeville SC"
2008,"Abbeville","SC",8976,102,"Abbeville SC"
2009,"Abbeville","SC",8958,103,"Abbeville SC"
2010,"Abbeville","SC",8860,66,"Abbeville SC"
2011,"Abbeville","SC",7325,79,"Abbeville SC"
2012,"Abbeville","SC",7233,65,"Abbeville SC"
2013,"Abbeville","SC",6400,40,"Abbeville SC"
2015,"Abbeville","SC",1256,1,"Abbeville SC"
2017,"Abbeville","SC",1300,1,"Abbeville SC"
1999,"Acadia","LA",13564,821,"Acadia LA"
2000,"Acadia","LA",14157,838,"Acadia LA"
2001,"Acadia","LA",13564,821,"Acadia LA"
2003,"Acadia","LA",14031,73,"Acadia LA"
2004,"Acadia","LA",14000,79,"Acadia LA"
2005,"Acadia","LA",4673,12,"Acadia LA"
2006,"Acadia","LA",13138,110,"Acadia LA"
2007,"Acadia","LA",13992,86,"Acadia LA"
2009,"Acadia","LA",13865,88,"Acadia LA"
2010,"Acadia","LA",18542,146,"Acadia LA"
2011,"Acadia","LA",13386,106,"Acadia LA"
2013,"Acadia","LA",12559,48,"Acadia LA"
2014,"Acadia","LA",8048,73,"Acadia LA"
2015,"Acadia","LA",25763,195,"Acadia LA"
2017,"Acadia","LA",25678,310,"Acadia LA"
2005,"Accomack","VA",6500,12,"Accomack VA"
2006,"Accomack","VA",6453,12,"Accomack VA"
2007,"Accomack","VA",6306,10,"Accomack VA"
2008,"Accomack","VA",6970,6,"Accomack VA"
2009,"Accomack","VA",6921,8,"Accomack VA"
2010,"Accomack","VA",6969,8,"Accomack VA"
2011,"Accomack","VA",5106,6,"Accomack VA"
2012,"Accomack","VA",6045,9,"Accomack VA"
2013,"Accomack","VA",5969,2,"Accomack VA"
2014,"Accomack","VA",4706,7,"Accomack VA"
2015,"Accomack","VA",6253,15,"Accomack VA"
2017,"Accomack","VA",5536,14,"Accomack VA"
1999,"Ada","ID",186554,923,"Ada ID"
2000,"Ada","ID",213339,628,"Ada ID"
2001,"Ada","ID",186554,923,"Ada ID"
2003,"Ada","ID",244406,780,"Ada ID"
2004,"Ada","ID",247103,931,"Ada ID"
2005,"Ada","ID",252590,892,"Ada ID"
2006,"Ada","ID",263541,929,"Ada ID"
2007,"Ada","ID",274850,830,"Ada ID"
2008,"Ada","ID",284912,690,"Ada ID"
2009,"Ada","ID",289851,711,"Ada ID"
2010,"Ada","ID",290559,682,"Ada ID"
2011,"Ada","ID",294960,667,"Ada ID"
2012,"Ada","ID",300132,716,"Ada ID"
2013,"Ada","ID",307736,780,"Ada ID"
2014,"Ada","ID",313325,785,"Ada ID"
2015,"Ada","ID",321454,826,"Ada ID"
2017,"Ada","ID",336626,845,"Ada ID"
1999,"Adair","MO",17072,597,"Adair MO"
2000,"Adair","MO",17497,573,"Adair MO"
2001,"Adair","MO",17072,597,"Adair MO"
2003,"Adair","MO",17379,66,"Adair MO"
2004,"Adair","MO",17308,56,"Adair MO"
2005,"Adair","KY",4204,3,"Adair KY"
2005,"Adair","MO",17192,74,"Adair MO"
2005,"Adair","OK",1640,23,"Adair OK"
2006,"Adair","KY",4207,4,"Adair KY"
2006,"Adair","MO",17110,103,"Adair MO"
2006,"Adair","OK",5170,23,"Adair OK"
2007,"Adair","KY",4195,7,"Adair KY"
2007,"Adair","MO",16934,107,"Adair MO"
2007,"Adair","OK",1687,12,"Adair OK"
2008,"Adair","KY",4247,7,"Adair KY"
2008,"Adair","OK",5123,22,"Adair OK"
2009,"Adair","MO",17376,56,"Adair MO"
2010,"Adair","KY",4644,1,"Adair KY"
2010,"Adair","MO",17406,90,"Adair MO"
2010,"Adair","OK",5188,14,"Adair OK"
2011,"Adair","KY",4483,3,"Adair KY"
2011,"Adair","MO",17569,119,"Adair MO"
2011,"Adair","OK",5648,13,"Adair OK"
2012,"Adair","KY",4468,4,"Adair KY"
2012,"Adair","MO",17502,50,"Adair MO"
2012,"Adair","OK",5606,13,"Adair OK"
2013,"Adair","KY",4490,5,"Adair KY"
2013,"Adair","MO",17529,43,"Adair MO"
2013,"Adair","OK",5574,16,"Adair OK"
2014,"Adair","KY",4526,3,"Adair KY"
2014,"Adair","MO",17594,66,"Adair MO"
2014,"Adair","OK",5606,16,"Adair OK"
2015,"Adair","KY",4928,2,"Adair KY"
2015,"Adair","MO",17662,52,"Adair MO"
2015,"Adair","OK",5591,21,"Adair OK"
2017,"Adair","KY",4940,4,"Adair KY"
2017,"Adair","MO",17520,44,"Adair MO"
2017,"Adair","OK",5933,17,"Adair OK"
1999,"Adams","CO",489490,572,"Adams CO"
1999,"Adams","MS",18387,0,"Adams MS"
1999,"Adams","NE",21399,943,"Adams NE"
2000,"Adams","CO",415133,926,"Adams CO"
2000,"Adams","MS",18676,0,"Adams MS"
2000,"Adams","NE",21840,0,"Adams NE"
2001,"Adams","CO",489490,572,"Adams CO"
2001,"Adams","MS",18387,0,"Adams MS"
2001,"Adams","NE",21399,943,"Adams NE"
2003,"Adams","CO",453741,716,"Adams CO"
2003,"Adams","MS",17923,57,"Adams MS"
2003,"Adams","NE",24048,31,"Adams NE"
2004,"Adams","CO",507840,567,"Adams CO"
2004,"Adams","MS",17754,41,"Adams MS"
2004,"Adams","NE",23643,55,"Adams NE"
2005,"Adams","CO",608700,1088,"Adams CO"
2005,"Adams","IN",13749,9,"Adams IN"
2005,"Adams","MS",17380,34,"Adams MS"
2005,"Adams","NE",23559,50,"Adams NE"
2005,"Adams","OH",2085,3,"Adams OH"
2005,"Adams","PA",19950,46,"Adams PA"
2005,"Adams","WA",7919,22,"Adams WA"
2006,"Adams","CO",625930,1069,"Adams CO"
2006,"Adams","IN",13795,18,"Adams IN"
2006,"Adams","MS",16905,47,"Adams MS"
